V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,Class
49,entrepreneur,married,primary,no,-63,yes,no,unknown,14,may,416,2,-1,0,unknown,1
28,management,single,tertiary,no,637,yes,no,cellular,4,feb,324,1,-1,0,unknown,1
26,management,single,tertiary,no,1837,no,no,cellular,3,feb,417,2,-1,0,unknown,1
39,management,single,tertiary,no,30,yes,no,cellular,13,may,201,3,-1,0,unknown,1
49,admin.,married,secondary,no,512,yes,yes,unknown,14,may,455,3,-1,0,unknown,1
27,technician,married,secondary,no,876,yes,no,cellular,18,may,268,1,355,1,failure,1
45,technician,married,secondary,no,4639,no,no,unknown,6,jun,82,2,-1,0,unknown,1
41,technician,married,secondary,no,0,no,no,cellular,11,mar,101,1,-1,0,unknown,1
40,admin.,single,secondary,no,-186,yes,yes,cellular,11,jul,154,2,-1,0,unknown,1
51,blue-collar,married,primary,no,201,yes,no,cellular,17,jul,582,2,-1,0,unknown,2
